找到的重复片段:
位置 | 长度 | 重复次数 | 是否反向重复
     121 |      6 |            1 | 是
     123 |      5 |            1 | 是
     125 |      6 |            1 | 是
     126 |      9 |            1 | 是
     127 |      6 |            1 | 是
     128 |      7 |            1 | 是
     129 |      6 |            1 | 是
     133 |      5 |            1 | 是
     135 |      5 |            1 | 是
     143 |      6 |            1 | 是
     145 |      6 |            1 | 是
     147 |      5 |            1 | 是
     151 |      6 |            1 | 是
     156 |      7 |            1 | 是
     158 |      6 |            1 | 是
     159 |      8 |            1 | 是
     160 |      6 |            1 | 是
     162 |      5 |            1 | 是
     165 |      9 |            1 | 是
     167 |      7 |            1 | 是
     169 |      5 |            1 | 是
     170 |      7 |            1 | 是
     171 |      5 |            1 | 是
     175 |      5 |            1 | 是
     177 |      5 |            1 | 是
     179 |      5 |            1 | 是
     184 |      6 |            1 | 是
     186 |      6 |            1 | 是
     188 |      6 |            1 | 是
     190 |      5 |            1 | 是
     193 |      7 |            1 | 是
     195 |      7 |            1 | 是
     197 |      5 |            1 | 是
     200 |      5 |            1 | 是
     203 |      5 |            1 | 是
     204 |      6 |            1 | 是
     205 |      5 |            1 | 是
     206 |      7 |            1 | 是
     207 |      5 |            1 | 是
     210 |      5 |            1 | 是
     212 |      5 |            1 | 是
     215 |     10 |            1 | 是
     217 |      8 |            1 | 是
     219 |      6 |            1 | 是
     221 |      6 |            1 | 是
     225 |      6 |            1 | 是
     227 |      5 |            1 | 是
     228 |      6 |            1 | 是
     229 |      5 |            1 | 是
     232 |      7 |            1 | 是
     234 |      5 |            1 | 是
     242 |      5 |            1 | 是
     243 |      8 |            1 | 是
     244 |      5 |            1 | 是
     245 |      6 |            1 | 是
     246 |      5 |            1 | 是
     251 |      5 |            1 | 是
     252 |      6 |            1 | 是
     253 |      5 |            1 | 是
     258 |      5 |            1 | 是
     259 |      8 |            1 | 是
     260 |      5 |            1 | 是
     261 |      6 |            1 | 是
     262 |      5 |            1 | 是
     265 |      6 |            1 | 是
     272 |      6 |            1 | 是
     274 |      6 |            1 | 是
     282 |      6 |            1 | 是
     289 |      5 |            1 | 是
     290 |      6 |            1 | 是
     291 |      5 |            1 | 是
     294 |      5 |            1 | 是
     298 |     79 |            1 | 是
     300 |     79 |            1 | 是
     302 |     79 |            1 | 是
     304 |     79 |            1 | 是
     306 |     79 |            1 | 是
     308 |     79 |            1 | 是
     310 |     79 |            1 | 是
     312 |     79 |            1 | 是
     314 |     79 |            1 | 是
     316 |     79 |            1 | 是
     318 |     79 |            1 | 是
     320 |     79 |            1 | 是
     322 |     79 |            1 | 是
     324 |     77 |            1 | 是
     326 |     75 |            1 | 是
     328 |     73 |            1 | 是
     330 |     71 |            1 | 是
     332 |     69 |            1 | 是
     334 |     67 |            1 | 是
     336 |     65 |            1 | 是
     338 |     63 |            1 | 是
     340 |     61 |            1 | 是
     342 |     59 |            1 | 是
     344 |     57 |            1 | 是
     346 |     55 |            1 | 是
     348 |     53 |            1 | 是
     350 |     51 |            1 | 是
     352 |     49 |            1 | 是
     354 |     47 |            1 | 是
     356 |     45 |            1 | 是
     358 |     43 |            1 | 是
     360 |     41 |            1 | 是
     362 |     39 |            1 | 是
     364 |     37 |            1 | 是
     366 |     35 |            1 | 是
     368 |     33 |            1 | 是
     370 |     31 |            1 | 是
     372 |     29 |            1 | 是
     374 |     27 |            1 | 是
     376 |     25 |            1 | 是
     378 |     23 |            1 | 是
     380 |     21 |            1 | 是
     382 |     19 |            1 | 是
     384 |     17 |            1 | 是
     386 |     15 |            1 | 是
     388 |     13 |            1 | 是
     390 |     11 |            1 | 是
     392 |      9 |            1 | 是
     394 |      7 |            1 | 是
     396 |      5 |            1 | 是
     399 |      6 |            1 | 是
     403 |      5 |            1 | 是
     407 |      5 |            1 | 是
     414 |      5 |            1 | 是
     415 |      7 |            1 | 是
     416 |      5 |            1 | 是
     422 |      5 |            1 | 是
     423 |      7 |            1 | 是
     424 |      5 |            1 | 是
     426 |      5 |            1 | 是
     429 |      5 |            1 | 是
     431 |      6 |            1 | 是
     434 |      6 |            1 | 是
     439 |      5 |            1 | 是
     440 |      7 |            1 | 是
     441 |      5 |            1 | 是
     443 |      5 |            1 | 是
     450 |      5 |            1 | 是
     464 |      5 |            1 | 是
     465 |      7 |            1 | 是
     466 |      5 |            1 | 是
     472 |      5 |            1 | 是
     476 |      7 |            1 | 是
     478 |      5 |            1 | 是
     484 |      5 |            1 | 是
     485 |      6 |            1 | 是
     486 |      5 |            1 | 是
     488 |      5 |            1 | 是
     491 |      6 |            1 | 是
     493 |      6 |            1 | 是
     504 |      6 |            1 | 是
     507 |      5 |            1 | 是
     514 |      5 |            1 | 是
     515 |      6 |            1 | 是
     516 |      5 |            1 | 是
     518 |      5 |            1 | 是
     525 |      6 |            1 | 是
     529 |      5 |            1 | 是
     531 |      5 |            1 | 是
     533 |      6 |            1 | 是
     535 |      5 |            1 | 是
     538 |      5 |            1 | 是
     542 |      5 |            1 | 是
     546 |      6 |            1 | 是
     548 |      5 |            1 | 是
     557 |      5 |            1 | 是
     559 |      5 |            1 | 是
     567 |      5 |            1 | 是
     572 |      6 |            1 | 是
     576 |      5 |            1 | 是
     579 |      5 |            1 | 是
     581 |      5 |            1 | 是
     583 |      5 |            1 | 是
     585 |      5 |            1 | 是
     591 |      5 |            1 | 是
     594 |      5 |            1 | 是
     595 |      6 |            1 | 是
     596 |      5 |            1 | 是
     599 |      6 |            1 | 是
     604 |      6 |            1 | 是
     607 |      5 |            1 | 是
     615 |      5 |            1 | 是
     624 |      6 |            1 | 是
     629 |      5 |            1 | 是
     631 |      5 |            1 | 是
     633 |      6 |            1 | 是
     637 |      5 |            1 | 是
     641 |      7 |            1 | 是
     643 |      5 |            1 | 是
     645 |      5 |            1 | 是
     647 |      5 |            1 | 是
     649 |      5 |            1 | 是
     652 |      5 |            1 | 是
     664 |      5 |            1 | 是
     669 |      5 |            1 | 是
     674 |      5 |            1 | 是
     676 |      5 |            1 | 是
     679 |      5 |            1 | 是
     681 |      6 |            1 | 是
     683 |      5 |            1 | 是
     685 |      5 |            1 | 是
     689 |      5 |            1 | 是
     690 |      7 |            1 | 是
     691 |      5 |            1 | 是
     692 |      7 |            1 | 是
     693 |      5 |            1 | 是
     696 |      5 |            1 | 是
     700 |      5 |            1 | 是
     704 |      6 |            1 | 是
     707 |      5 |            1 | 是
     716 |      5 |            1 | 是
     723 |      6 |            1 | 是
     726 |      5 |            1 | 是
     729 |      5 |            1 | 是
     731 |      5 |            1 | 是
     733 |      6 |            1 | 是
     737 |      5 |            1 | 是
     741 |      5 |            1 | 是
     744 |      5 |            1 | 是
     750 |      5 |            1 | 是
     754 |      6 |            1 | 是
     756 |      5 |            1 | 是
     758 |      5 |            1 | 是
     759 |      6 |            1 | 是
     760 |      5 |            1 | 是
     764 |      6 |            1 | 是
     766 |      5 |            1 | 是
     768 |      5 |            1 | 是
     772 |      5 |            1 | 是
     773 |      6 |            1 | 是
     774 |      5 |            1 | 是
     776 |      5 |            1 | 是
     779 |      5 |            1 | 是
     781 |      5 |            1 | 是
     783 |      6 |            1 | 是
     787 |      8 |            1 | 是
     789 |      7 |            1 | 是
     791 |      5 |            1 | 是
     794 |      5 |            1 | 是

共找到 305 个不同位置的重复片段 (总共有2787个重复)
